Name,Interests
Alexa Hepburn,"['parent-child interaction', 'conversation analysis', 'discursive psychology', 'emotion in interaction']"
Brent Ruben,"['leadership', 'assessment', 'strategy']"
Brian Householder,"['assessment', 'relational']"
Dajung Woo,"['collaboration', 'stakeholders', 'socialization', 'interorganizational relations']"
Erin Christie,"['microanalysis', 'observation', 'interviewing', 'public speaking']"
Galina Bolden,"['social interaction', 'health', 'family', 'culture']"
Itzhak Yanovitzky,"['community engagement', 'behavior change']"
Jeff Lane,"['inequality', 'urban', 'community', 'methods']"
Jen Theiss,"['romantic relationships', 'family', 'uncertainty', 'resilience']"
Katherine Ognyanova,"['networks', 'media', 'technology', 'political communication', 'misinformation']"
Kathryn Greene,"['interpersonal communication', 'discolsure', 'privacy', 'engagement']"
Kristina Scharp,"['family communication', 'health communication', 'marginalized communities', 'resisting oppression', 'resilience', 'coping']"
Lea Stewart,"['pedagogy', 'applied communication']"
Lisa Mikesell,"['mental health communication', 'community-based participatory research']"
Maria Venetis,"['resilience', 'disclosure']"
Mark Beal,"['public relations', 'influencer marketing', 'social media', 'digital media', 'metaverse marketing']"
Marya Doerfel,"['communities', 'social networks', 'resilience', 'interorganizational relationships']"
Matthew Matsaganis,"['community', 'resilience', 'communication technology', 'media']"
Matthew Weber,"['networks', 'media', 'data science', 'technology', 'community']"
Nick Linardopoulos,"['online learning', 'political communication', 'communication technologies in education', 'technology']"
Rick Dool,"['organizational renewal', 'organizational change', 'strategic development']"
Sarah Shugars,"['network analysis', 'social media', 'technology', 'political communication']"
Shawnika Hull,"['health inequities', 'applied research']"
Sophia Fu,"['organizations', 'organizing', 'innovation', 'social impact', 'technology', 'networks']"
Yoni Rivera,"['health', 'social media', 'community engagement', 'inequality', 'cancer']"
