Name,Interests
Brent Ruben,assessment
Brian Householder,assessment
Galina Bolden,health
Galina Bolden,family
Itzhak Yanovitzky,community engagement
Jeff Lane,inequality
Jeff Lane,community
Jen Theiss,family
Jen Theiss,resilience
Katherine Ognyanova,networks
Katherine Ognyanova,media
Katherine Ognyanova,technology
Katherine Ognyanova,political communication
Kristina Scharp,resilience
Maria Venetis,resilience
Mark Beal,social media
Marya Doerfel,resilience
Matthew Matsaganis,community
Matthew Matsaganis,resilience
Matthew Matsaganis,media
Matthew Weber,networks
Matthew Weber,media
Matthew Weber,technology
Matthew Weber,community
,
Nick Linardopoulos,political communication
Nick Linardopoulos,technology
Sarah Shugars,social media
Sarah Shugars,technology
Sarah Shugars,political communication
Sophia Fu,technology
Sophia Fu,networks
Yoni Rivera,health
Yoni Rivera,social media
Yoni Rivera,community engagement
Yoni Rivera,inequality
